"","Class","case","fraction_total_reads","group","sex","sample"
"381","Bacilli","17.unmapped",0.000189256,"control","male","exo"
"382","Bacilli","22.unmapped",0.000568624,"malt","male","exo"
"383","Bacilli","20.unmapped",7.62e-05,"control","male","exo"
"384","Bacilli","25.unmapped",5.91e-05,"control","fem","exo"
"385","Bacilli","28.unmapped",0.000315997,"malt","fem","exo"
"386","Bacilli","24.unmapped",0.000246632,"control","fem","exo"
"387","Bacilli","18.unmapped",0.000238068,"control","male","exo"
"388","Bacilli","26.unmapped",0.000182405,"control","fem","exo"
"389","Bacilli","29.unmapped",0.001177496,"malt","fem","exo"
"390","Bacilli","19.unmapped",0.000189256,"control","male","exo"
"391","Bacilli","21.unmapped",0.000100194,"malt","male","exo"
"392","Bacilli","27.unmapped",0.000152432,"malt","fem","exo"
"393","Bacilli","24.unmapped",5.14e-05,"control","fem","exo"
