Phylum,Class,22.unmapped,27.unmapped,21.unmapped,24.unmapped,25.unmapped,28.unmapped,29.unmapped,23.unmapped,17.unmapped,26.unmapped,18.unmapped,19.unmapped,20.unmapped
Firmicutes,Clostridia,1.49E-05,1.55E-05,0,0.000609908,0.000234706,1.33E-05,0.000214211,0.000107469,0.000150847,4.71E-05,8.80E-05,4.11E-05,0.00014006
Firmicutes,Clostridia,5.95E-05,0.000432753,0,1.24E-05,0.000167647,1.33E-05,0,2.69E-05,0,9.42E-05,0.000278813,0.000164489,1.56E-05
Firmicutes,Clostridia,0.00020824,1.55E-05,0,3.73E-05,0.000150883,0.000119395,0.000168309,1.34E-05,1.68E-05,0,2.93E-05,4.11E-05,0
Bacteroidetes,NA,2.97E-05,7.73E-05,0,2.49E-05,1.68E-05,6.63E-05,3.06E-05,2.69E-05,0.000134086,6.28E-05,0.000176093,4.11E-05,6.22E-05
Bacteroidetes,Bacteroidia,0.00020824,0.000834596,0,0,0,9.29E-05,0,0.000537346,0,0,0,0.000657958,4.67E-05
Firmicutes,Clostridia,0,1.55E-05,1.06E-05,0,0,3.98E-05,3.06E-05,0.000429876,0,0,0,0.00010966,0.000233434
Firmicutes,Clostridia,5.95E-05,0.000278199,0,3.73E-05,0.000117353,9.29E-05,0.000336618,1.34E-05,0.000184369,0,0,0.000191904,0
Bacteroidetes,Bacteroidia,0.000282612,1.55E-05,8.51E-05,0.000373413,0.000184412,1.33E-05,0,0.000255239,6.70E-05,0.000282699,4.40E-05,0,0.000217872
Proteobacteria,Epsilonproteobacteria,0,1.55E-05,0,0.000136918,0,3.98E-05,0.000260114,0.000308974,5.03E-05,0.000188466,7.34E-05,0.000150782,0
Firmicutes,Clostridia,0.000118994,6.18E-05,0.000180915,0,0.000100588,0,0.000979252,0.000268673,0.000469303,0,0,0,0
Firmicutes,Clostridia,0.000133869,4.64E-05,0.000159631,0,0.000100588,0.000106129,0,0.000201505,1.68E-05,0.000109938,5.87E-05,1.37E-05,0.000497992
Firmicutes,Clostridia,1.49E-05,3.09E-05,0.000117062,0,1.68E-05,0,9.18E-05,0,1.68E-05,0.000361226,0,0.000657958,0
Fibrobacteres,Fibrobacteria,1.49E-05,0.000200921,0,0,0,6.63E-05,0.000810943,0.000483611,8.38E-05,0,4.40E-05,0.000123367,0
Firmicutes,Clostridia,0,0,0,2.49E-05,1.68E-05,0.00017246,0,0,0,0,5.87E-05,0,7.78E-05
Bacteroidetes,Bacteroidia,0.000223115,1.55E-05,0,0.000497884,0.000100588,0.000119395,4.59E-05,5.37E-05,5.03E-05,0.000188466,8.80E-05,2.74E-05,1.56E-05
Firmicutes,Clostridia,0.000252863,1.55E-05,0,0.001369181,0.000150883,0,0,0,0,1.57E-05,1.47E-05,0,1.56E-05
Firmicutes,Clostridia,8.92E-05,1.55E-05,0.000159631,4.98E-05,0,2.65E-05,1.53E-05,8.06E-05,1.68E-05,0.000109938,8.80E-05,0,3.11E-05
Firmicutes,Erysipelotrichia,0.000223115,3.09E-05,0.000393755,0.000112024,0.000134118,5.31E-05,0,0.000188071,1.68E-05,4.71E-05,5.87E-05,6.85E-05,6.22E-05
Bacteroidetes,Bacteroidia,5.95E-05,3.09E-05,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,Betaproteobacteria,0,3.09E-05,0,0.000186706,0.000134118,0.000252056,0.00018361,0.000228372,0.000184369,0.000125644,8.80E-05,0.000137075,0.000186747
Actinobacteria,Actinobacteria,0,1.55E-05,7.45E-05,0.000199154,0.000134118,2.65E-05,0.000688537,0.000255239,0.000100565,0.000251288,2.93E-05,0,6.22E-05
Firmicutes,Clostridia,5.95E-05,1.55E-05,5.32E-05,0.000323625,0.000217942,0.000198992,3.06E-05,1.34E-05,5.03E-05,0.000235582,0.000146744,8.22E-05,0.000202309
Firmicutes,Clostridia,1.49E-05,1.55E-05,1.06E-05,0.000659696,0.000150883,0,0.00018361,1.34E-05,0.000150847,0,0.000102721,4.11E-05,0.000124498
Elusimicrobia,Elusimicrobia,0.000892459,0.000602763,2.13E-05,0,0,0.000106129,3.06E-05,0,8.38E-05,0,0,0.000287857,0
Bacteroidetes,Bacteroidia,1.49E-05,0,6.39E-05,0.000311177,0.000100588,0.000331653,3.06E-05,0.000107469,6.70E-05,6.28E-05,0.000278813,0,7.78E-05
Proteobacteria,Deltaproteobacteria,8.92E-05,0.000247288,1.06E-05,0,5.03E-05,0.000106129,0.000122407,5.37E-05,0.000117326,4.71E-05,0,0.000178197,0.000217872
Firmicutes,Erysipelotrichia,0.000193366,6.18E-05,0.000308619,9.96E-05,0.000100588,2.65E-05,1.53E-05,0.000255239,0.000134086,0.000157055,1.47E-05,9.60E-05,0.000155623
Firmicutes,Clostridia,7.44E-05,1.55E-05,4.26E-05,0.000286283,8.38E-05,1.33E-05,0,0.000255239,3.35E-05,6.28E-05,2.93E-05,0,0.000326808
Firmicutes,Clostridia,0.000193366,4.64E-05,0.000180915,3.73E-05,0.000234706,6.63E-05,4.59E-05,0.000214938,0.000117326,6.28E-05,2.93E-05,6.85E-05,0.000497992
Firmicutes,Clostridia,0.000133869,0.000309109,4.26E-05,0,8.38E-05,0,9.18E-05,5.37E-05,0,1.57E-05,0.000352185,5.48E-05,0
Actinobacteria,Actinobacteria,0.000163617,6.18E-05,0.000287335,1.24E-05,8.38E-05,5.31E-05,0.000198911,6.72E-05,0.000184369,1.57E-05,1.47E-05,1.37E-05,0.000171185
Firmicutes,Clostridia,0.00010412,1.55E-05,0.000117062,0,8.38E-05,9.29E-05,1.53E-05,0.000174637,0.000184369,0.000219877,0.000146744,2.74E-05,0.000420181
Proteobacteria,Betaproteobacteria,8.92E-05,4.64E-05,9.58E-05,7.47E-05,0.000117353,0.000212258,0,4.03E-05,0.000117326,0.00048687,0.000102721,0.000315271,0.000171185
Firmicutes,Clostridia,8.92E-05,1.55E-05,0.000117062,3.73E-05,0.000134118,3.98E-05,9.18E-05,0.000134336,5.03E-05,0.000157055,0.000352185,2.74E-05,0.000217872
Proteobacteria,Betaproteobacteria,0.000178492,0,0.000170273,0.000112024,0.000251471,0.000145927,3.06E-05,0.000255239,0.000150847,6.28E-05,7.34E-05,0.000123367,0.000217872
Firmicutes,Clostridia,8.92E-05,4.64E-05,0.000234125,3.73E-05,0.000134118,5.31E-05,0.000229512,1.34E-05,0.000268173,0.000109938,7.34E-05,0.000191904,4.67E-05
Firmicutes,Clostridia,1.49E-05,0,0,0.000261389,5.03E-05,1.33E-05,1.53E-05,5.37E-05,1.68E-05,7.85E-05,0,0,0.001338355
Firmicutes,Clostridia,0,3.09E-05,5.32E-05,6.22E-05,8.38E-05,6.63E-05,0,1.34E-05,3.35E-05,0,0.000102721,1.37E-05,0
Firmicutes,Clostridia,0.00010412,3.09E-05,0.000170273,8.71E-05,0,1.33E-05,0.000214211,0,0,0.000109938,2.93E-05,6.85E-05,4.67E-05
NA,NA,0.000401606,0.00017001,0.000127704,0,0,5.31E-05,0.000826244,0,0,0,0,0.000507176,0
